perfil_id,endorsement_count,name,agrupamento
34,3,Git,Informática / Softwares
34,2,Ruby,Linguagem de Programação
34,3,Mobile Applications,Informática / Softwares
34,1,Heroku,Informática / Softwares
34,1,Software Development,TI / Desenvolvedor
34,2,Scrum,Gestão / Administração
34,Não Informado,Customer Focused Design,Negócios / Marketing
34,Não Informado,Customer development,Negócios / Marketing
34,Não Informado,Start-ups,Empreendedorismo
34,Não Informado,Mobile Product Development,Gestão / Administração
34,Não Informado,Data Analysis,TI / Desenvolvedor
34,Não Informado,Hypothesis Testing,TI / Desenvolvedor
34,Não Informado,User Experience,TI / Desenvolvedor
34,Não Informado,Cross-functional Team Leadership,Gestão / Administração
34,Não Informado,Lean Startup,Gestão / Administração
34,Não Informado,Entrepreneurship,Empreendedorismo
35,90,Linux,Informática / Softwares
35,26,Open Source,Linguagem de Programação
35,19,MySQL,Informática / Softwares
35,15,PHP,Linguagem de Programação
35,54,Python,Linguagem de Programação
35,36,Java,Linguagem de Programação
35,29,C++,Linguagem de Programação
35,9,Operating Systems,TI / Desenvolvedor
35,13,Bash,Informática / Softwares
35,17,Distributed Systems,TI / Desenvolvedor
35,1,Amazon Web Services,Informática / Softwares
35,3,Chrome Extensions,Informática / Softwares
35,10,Git,Informática / Softwares
35,15,Computer Science,TI / Desenvolvedor
35,16,Software Development,TI / Desenvolvedor
35,2,MongoDB,Informática / Softwares
35,13,C,Linguagem de Programação
35,10,Shell Scripting,Informática / Softwares
35,8,Programming,Linguagem de Programação
35,6,Linux development,Informática / Softwares
35,5,Algorithms,Linguagem de Programação
35,5,Eclipse,Informática / Softwares
35,5,UML,Linguagem de Programação
35,4,Android,Informática / Softwares
35,5,JavaScript,Linguagem de Programação
35,4,Parallel Programming,Linguagem de Programação
35,3,Compilers,Informática / Softwares
35,3,Objective-C,Linguagem de Programação
35,3,Perl,Linguagem de Programação
35,3,Heroku,Informática / Softwares
35,3,CVS,Informática / Softwares
35,2,PostgreSQL,Informática / Softwares
35,2,Object Oriented Design,Design / Artes
35,1,Multithreading,TI / Desenvolvedor
35,1,Parallel Computing,TI / Desenvolvedor
35,1,Scalability,TI / Desenvolvedor
35,21,Software Engineering,Engenharia
35,1,Flask,Informática / Softwares
35,1,Unix Shell Scripting,Informática / Softwares
35,1,REST,Informática / Softwares
35,1,Escalabilidade,Linguagem de Programação
35,2,Algoritmo,Linguagem de Programação
35,2,C (linguagem de programação),Linguagem de Programação
35,4,Engenharia de software,Engenharia
35,3,Código aberto,Linguagem de Programação
35,3,Desenvolvimento de software,TI / Desenvolvedor
35,1,Ciência da computação,TI / Desenvolvedor
35,1,Programação de computadores,Linguagem de Programação
35,1,Shell script,Informática / Softwares
35,1,Sistemas distribuídos,Informática / Softwares
36,5,Inglês,Idiomas
36,4,Comunicação interpessoal,Comportamento / Social
36,3,Motivação de equipes,Gestão / Administração
